# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
⚡	high voltage	danger | electric | electricity | high | lightning | nature | thunder | thunderbolt | voltage | zap	고압 주의	고압 | 고압 경고 | 고압 주의 | 메신저 | 번개 | 벼락 | 위험 | 자연 | 잽 | 전기 | 전력 | 전압
❄	snowflake	cold | snow | snowflake | weather	눈송이	날씨 | 눈 | 눈송이 | 추위
☃	snowman	cold | man | snow | snowman	눈사람	겨울 | 눈 | 눈사람 | 추위
⛄	snowman without snow	cold | man | snow | snowman	스노우맨	겨울 | 내리는 눈 없이 눈사람 | 눈 | 눈사람 | 스노우맨 | 추위
☄	comet	comet | space	혜성	우주 | 혜성
🔥	fire	af | burn | fire | flame | hot | lit | litaf | tool	불	도구 | 뜨거운 | 불 | 불꽃 | 화끈한 | 화재
💧	droplet	cold | comic | drop | droplet | nature | sad | sweat | tear | water | weather	물방울	날씨 | 눈물 | 달콤 | 땀 | 만화 | 물방울 | 자연 | 추위 | 코믹
🌊	water wave	nature | ocean | surf | surfer | surfing | water | wave	파도	물결 | 바다 | 서퍼 | 서핑 | 서핑하는 사람 | 자연 | 파도 | 풍랑
🎃	jack-o-lantern	celebration | halloween | jack | jack-o-lantern | lantern | pumpkin	할로윈	등 | 잭 | 잭오랜턴 | 할로윈 | 할로윈 장식 | 핼러윈 | 호박
🎄	Christmas tree	Christmas | celebration | tree	크리스마스 트리	축하 | 크리스마스 | 크리스마스 트리
🎆	fireworks	boom | celebration | entertainment | fireworks | yolo	불꽃놀이	불꽃 축제 | 불꽃놀이 | 엔터테인먼트 | 욜로 | 축하 | 쾅
🎇	sparkler	boom | celebration | fireworks | sparkle | sparkler	불꽃	번쩍 | 불꽃 | 불꽃 축제 | 축하 | 쾅 | 폭죽
🧨	firecracker	dynamite | explosive | fire | firecracker | fireworks | light | pop | popping | spark	폭죽	다이너마이트 | 불꽃 | 불꽃놀이 | 빛 | 튀다 | 폭발적인 | 폭약 | 폭죽
✨	sparkles	* | magic | sparkle | sparkles | star	블링블링	마술 | 매직 | 반짝거림 | 반짝반짝 | 별 | 블링블링
🎈	balloon	balloon | birthday | celebrate | celebration	풍선	기념 | 생일 | 축하 | 파티 | 풍선
🎉	party popper	awesome | birthday | celebrate | celebration | excited | hooray | party | popper | tada | woohoo	파티	생일 | 신나는 | 우후 | 짠 | 축하 | 파티
🎊	confetti ball	ball | celebrate | celebration | confetti | party | woohoo	박 터트리기	공 | 기념 | 박 터트리기 | 색종이 꽃가루처 | 야호 | 축하 | 파티
🎋	tanabata tree	Japanese | banner | celebration | tanabata | tree	소원을 건 나무	기원 쪽지 | 나무 | 다나바타 나무 | 배너 | 소원 빌기 | 소원 쪽지 | 소원 쪽지 매달기 | 소원을 건 나무 | 일본 | 축하
🎍	pine decoration	Japanese | bamboo | celebration | decoration | pine | plant	일본 장식	대나무 | 소나무 | 식물 | 일본 | 장식 | 축하
🎎	Japanese dolls	Japanese | celebration | doll | dolls | festival	일본 인형	남녀 인형 | 인형 | 일본 | 축제 | 페스티발
🎏	carp streamer	carp | celebration | streamer	물고기 깃발	깃발 | 물고기 깃발 | 물고기 모양 깃발 | 물고기 장식 | 잉어 | 잉어 모양 깃발
🎐	wind chime	bell | celebration | chime | wind	풍경	종 | 풍경
🎑	moon viewing ceremony	celebration | ceremony | moon | viewing	달맞이	기념 | 달 | 달맞이 | 달맞이 행사 | 벼이삭 | 축하
🧧	red envelope	envelope | gift | good | hóngbāo | lai | luck | money | red | see	세뱃돈	돈 | 돈 봉투 | 빨간 봉투 | 선물 | 세뱃돈 | 행운 | 현금
🎀	ribbon	celebration | ribbon	리본	리본 | 축하
🎁	wrapped gift	birthday | bow | box | celebration | christmas | gift | present | surprise | wrapped	선물	놀람 | 박스 | 선물 | 축하 | 크리스마스 | 포장
🎗	reminder ribbon	celebration | reminder | ribbon	추모 리본	기념 | 리본 | 추모
🎟	admission tickets	admission | ticket | tickets	입장 티켓	입장 | 티켓
🎫	ticket	admission | stub | ticket	티켓	공연 | 엔터테인먼트 | 입장 | 티켓 | 표 | 표 확인
🎖	military medal	award | celebration | medal | military	무공 훈장	군대 | 메달 | 무공 훈장 | 상 | 축하 | 훈장
🏆	trophy	champion | champs | prize | slay | sport | trophy | victory | win | winning	트로피	상 | 스포츠 | 승리 | 우승 | 챔스 | 챔피온 | 트로피
🏅	sports medal	award | gold | medal | sports | winner	스포츠 메달	경기 | 금메달 | 메달 | 스포츠 | 승자 | 어워드
🥇	1st place medal	1st | first | gold | medal | place	금메달	골드 | 금메달 | 메달 | 일등
🥈	2nd place medal	2nd | medal | place | second | silver	은메달	2등 | 메달 | 실버 | 은메달 | 이등 | 준우승
🥉	3rd place medal	3rd | bronze | medal | place | third	동메달	동메달 | 메달 | 브론즈 | 삼등
⚽	soccer ball	ball | football | futbol | soccer | sport	축구공	공 | 메시 | 사커 | 스포츠 | 축구 | 축구공 | 호날두
⚾	baseball	ball | baseball | sport	야구공	공 | 스포츠 | 야구 | 야구공
🥎	softball	ball | glove | softball | sports | underarm	소프트볼	공 | 글로브 | 소프트볼 | 스포츠 | 야구공 | 언더암
🏀	basketball	ball | basketball | hoop | sport	농구	공 | 농구 | 농구 링 | 농구공 | 스포츠 | 운동
🏐	volleyball	ball | game | volleyball	배구공	게임 | 경기 | 공 | 배구 | 배구공
🏈	american football	american | ball | bowl | football | sport | super	미식축구공	미국 | 미식 | 미식축구 | 미식축구공 | 슈퍼볼 | 스포츠 | 운동 | 축구
🏉	rugby football	ball | football | rugby | sport	럭비공	공 | 럭비 | 럭비공 | 스포츠 | 운동
🎾	tennis	ball | racquet | sport | tennis	테니스	공 | 라켓 | 스포츠 | 운동 | 테니스
🥏	flying disc	disc | flying | ultimate	원반	디스크 | 야외 운동 | 원반 | 프리스비
🎳	bowling	ball | bowling | game | sport | strike	볼링	게임 | 공 | 볼링 | 볼링공 | 볼링핀 | 스트라이크 | 스포츠
🏏	cricket game	ball | bat | cricket | game	크리켓	게임 | 경기 | 공 | 배트 | 운동 | 크리켓
🏑	field hockey	ball | field | game | hockey | stick	필드 하키	게임 | 경기 | 공 | 스틱 | 필드 | 하키
🏒	ice hockey	game | hockey | ice | puck | stick	아이스 하키와 퍽	게임 | 경기 | 스틱 | 아이스 | 아이스 하키와 퍽 | 퍽 | 하키
🥍	lacrosse	ball | goal | lacrosse | sports | stick	라크로스	골 | 공 | 그물채 | 라크로스 | 스틱 | 스포츠
🏓	ping pong	ball | bat | game | paddle | ping | pingpong | pong | table | tennis	탁구	게임 | 공 | 탁구 | 탁구공 | 탁구채 | 핑퐁
🏸	badminton	badminton | birdie | game | racquet | shuttlecock	배드민턴	라켓 | 배드민턴 | 배드민턴채 | 버디 | 셔틀콕
🥊	boxing glove	boxing | glove	권투 글러브	권투 | 글러브 | 복싱 | 스포츠
🥋	martial arts uniform	arts | judo | karate | martial | taekwondo | uniform	도복	가라데 | 도복 | 무술 | 유니폼 | 유도 | 태권도 | 합기도
🥅	goal net	goal | net	골대	골 | 골대 | 구기종목 | 네트 | 스포츠
⛳	flag in hole	flag | golf | hole | sport	골프	골프 | 구멍 | 홀 | 홀에 깃발
⛸	ice skate	ice | skate | skating	아이스 스케이트	스케이트 | 아이스
🎣	fishing pole	entertainment | fish | fishing | pole | sport	낚싯대	낚시 | 낚싯대 | 물고기 | 스포츠 | 엔터테인먼트
🤿	diving mask	diving | mask | scuba | snorkeling	다이빙 마스크	다이빙 | 다이빙 마스크 | 스노클링 | 스쿠버 | 스킨스쿠버
🎽	running shirt	athletics | running | sash | shirt	러닝 셔츠	러닝 | 민소매 상의 | 셔츠 | 운동복 | 운동복 상의
🎿	skis	ski | skis | snow | sport	스키	눈 | 스키 | 스키 부츠 | 스포츠 | 운동
🛷	sled	luge | sled | sledge | sleigh | snow | toboggan	썰매	눈 | 눈썰매 | 썰매 | 터보건
🥌	curling stone	curling | game | rock | stone	컬링 스톤	게임 | 경기 | 돌 | 컬링 | 컬링 스톤
🎯	bullseye	bull | bullseye | dart | direct | entertainment | game | hit | target	과녁 명중	게임 | 과녁 | 다트 | 명중 | 목표 | 양궁 | 엔터테인먼트 | 화살
🪀	yo-yo	fluctuate | toy | yo-yo	요요	오르락내리락 | 요요 | 장난감
🪁	kite	fly | kite | soar	연	날리기 | 연 | 연날리기 | 활공
🔫	water pistol	gun | handgun | pistol | revolver | tool | water | weapon	물총	권총 | 리볼버 | 무기 | 물총 | 장비 | 총 | 피스톨
🎱	pool 8 ball	8 | 8ball | ball | billiard | eight | game | pool	당구	8 | 8번 공 | 게임 | 공 | 당구 | 당구공 | 팔 | 포켓볼 8번 공
🔮	crystal ball	ball | crystal | fairy | fairytale | fantasy | fortune | future | magic | tale | tool	수정 구슬	구슬 | 도구 | 동화 | 마술 | 수정 | 예언 | 운세 | 판타지
🪄	magic wand	magic | magician | wand | witch | wizard	마술 지팡이	마녀 | 마법사 | 마술 | 마술사 | 지팡이 | 지휘봉
🎮	video game	controller | entertainment | game | video	비디오 게임	게임 | 게임패드 | 비디오 게임 | 엔터테인먼트 | 컨트롤러
🕹	joystick	game | joystick | video | videogame	조이스틱	게임 | 비디오 게임 | 조이스틱 | 조종대
🎰	slot machine	casino | gamble | gambling | game | machine | slot | slots	슬롯 머신	갬블 | 게임 | 도박 | 슬롯 | 슬롯 머신 | 카지노 | 파칭코
🎲	game die	dice | die | entertainment | game	주사위	게임 | 경기 | 경기에서 짐 | 엔터테인먼트 | 주사위
🧩	puzzle piece	clue | interlocking | jigsaw | piece | puzzle	퍼즐	조각 | 조각퍼즐 | 직소 | 직소퍼즐 | 퍼즐
🧸	teddy bear	bear | plaything | plush | stuffed | teddy | toy	테디 베어	곰 | 곰인형 | 놀잇감 | 솜인형 | 장난감 | 테디
🪅	piñata	candy | celebrate | celebration | cinco | de | festive | mayo | party | pinada | pinata | piñata	피냐타	멕시코 | 사탕 | 신코 데 마요 | 씽꼬 데 마요 | 축하 | 캔디 | 파티 | 피냐타
🪩	mirror ball	ball | dance | disco | glitter | mirror | party	미러볼	댄스 | 디스코 | 미러볼 | 반짝반짝 | 볼 | 춤 | 파티
🪆	nesting dolls	babooshka | baboushka | babushka | doll | dolls | matryoshka | nesting | russia	네스팅 인형	네스팅 인형 | 러시아 | 마트료시카 | 바부슈카 | 인형
♠	spade suit	card | game | spade | suit	스페이드	게임 | 스페이드 | 스페이드 모양 | 카드
♥	heart suit	card | emotion | game | heart | hearts | suit	하트	감정 | 게임 | 카드 게임 | 하트 | 하트 모양
♦	diamond suit	card | diamond | game | suit	다이아몬드	게임 | 다이아몬드 | 다이아몬드 무늬 | 카드
♣	club suit	card | club | clubs | game | suit	클럽	게임 | 카드 게임 | 클럽 | 클로바 무늬
♟	chess pawn	chess | dupe | expendable | pawn	체스 폰	소모품 | 체스 말 | 체스 폰 | 폰
🃏	joker	card | game | joker | wildcard	조커	게임 | 와일드카드 | 조커 | 카드
🀄	mahjong red dragon	dragon | game | mahjong | red	마작	게임 | 마작 | 마작 기호 | 마작 빨간 용 | 빨간색
🎴	flower playing cards	Japanese | card | cards | flower | game | playing	화투	게임 | 고스톱 | 놀기 | 도박 | 일본 | 카드 | 화투 | 화투게임 | 화투패
🎭	performing arts	actor | actress | art | arts | entertainment | mask | performing | theater | theatre | thespian	가면	가면 | 공연 | 극장 | 마스크 | 배우 | 셰익스피어 | 엔터테인먼트 | 여배우 | 영화관 | 예술
🖼	framed picture	art | frame | framed | museum | painting | picture	그림 액자	그림 | 박물관 | 액자 | 액자에 걸린 사진 | 예술 | 작품
🎨	artist palette	art | artist | artsy | arty | colorful | creative | entertainment | museum | painter | painting | palette	팔레트	그림 | 그림 그리기 | 다채로운 | 미술 | 박물관 | 엔터테인먼트 | 예술 | 예술가 팔레트 | 예술적인 | 팔레트 | 화가
🧵	thread	needle | sewing | spool | string | thread	실타래	뜨개질 | 바느질 | 바늘 | 실 | 실타래
🪡	sewing needle	embroidery | needle | sew | sewing | stitches | sutures | tailoring | thread	바늘	바느질 | 바늘 | 봉합 | 실 | 자수 | 재단 | 재봉 바늘
🧶	yarn	ball | crochet | knit | yarn	실뭉치	공 | 니트 | 뜨개질 | 실뭉치 | 코바늘
🪢	knot	cord | knot | rope | tangled | tie | twine | twist	매듭	꼬인 | 끈 | 노끈 | 매듭 | 밧줄 | 새끼 | 엉킨 | 코드
👓	glasses	clothing | eye | eyeglasses | eyewear | glasses	안경	눈 | 안경 | 안경류 | 의류
🕶	sunglasses	dark | eye | eyewear | glasses | sunglasses	선글라스	눈 | 선글라스 | 안경 | 안경류 | 어두운
🥽	goggles	dive | eye | goggles | protection | scuba | swimming | welding	고글	고글 | 다이빙 | 물안경 | 수영 | 수영 안경 | 안구 보호 장비 | 용접
🥼	lab coat	clothes | coat | doctor | dr | experiment | jacket | lab | scientist | white	실험실 가운	과학자 | 실험실 | 실험실 가운 | 옷 | 의사 | 자켓 | 흰 가운
🦺	safety vest	emergency | safety | vest	구명조끼	구명조끼 | 안전 | 안전조끼 | 응급 | 조끼
👔	necktie	clothing | employed | necktie | serious | shirt | tie	넥타이	격식있는 | 넥타이 | 샐러리맨 | 셔츠 | 의류 | 직장인 | 타이
👕	t-shirt	blue | casual | clothes | clothing | collar | dressed | shirt | shopping | t-shirt | tshirt | weekend	티셔츠	쇼핑 | 옷 | 의류 | 주말 | 칼라 | 티 | 티셔츠 | 파란색
👖	jeans	blue | casual | clothes | clothing | denim | dressed | jeans | pants | shopping | trousers | weekend	바지	데님 | 면바지 | 바지 | 블루 | 쇼핑 | 의류 | 주말 | 진 | 차려입음 | 청바지 | 캐주얼
🧣	scarf	bundle | cold | neck | scarf | up	스카프	따뜻하게 두른 | 목도리 | 스카프 | 추위
🧤	gloves	gloves | hand	장갑	손 | 장갑
🧥	coat	brr | bundle | coat | cold | jacket | up	코트	따뜻하게 입은 | 재킷 | 코트
🧦	socks	socks | stocking	양말	스타킹 | 양말
👗	dress	clothes | clothing | dress | dressed | fancy | shopping	원피스	드레스 | 쇼핑 | 옷 | 원피스 | 의류 | 차려입은 | 화려한
👘	kimono	clothing | comfortable | kimono	기모노	기모노 | 의류 | 일본 기모노 | 편안
🥻	sari	clothing | dress | sari	사리	드레스 | 사리 | 옷 | 의복
🩱	one-piece swimsuit	bathing | one-piece | suit | swimsuit	원피스 수영복	수영복 | 원피스 수영복
🩲	briefs	bathing | briefs | one-piece | suit | swimsuit | underwear	삼각 수영복	삼각 수영복 | 수영복 | 언더웨어
🩳	shorts	bathing | pants | shorts | suit | swimsuit | underwear	반바지	반바지 | 수영복
👙	bikini	bathing | beach | bikini | clothing | pool | suit | swim	비키니	비키니 | 수영 | 수영복 | 수영장 | 의류 | 해변
👚	woman’s clothes	blouse | clothes | clothing | collar | dress | dressed | lady | shirt | shopping | woman | woman’s	여성복	블라우스 | 셔츠 | 쇼핑 | 숙녀 | 여성복 | 여자 | 옷 | 의류 | 칼라
🪭	folding hand fan	clack | clap | cool | cooling | dance | fan | flirt | flutter | folding | hand | hot | shy	접이식 손 부채	더운 | 부끄러운 | 부채 | 시원한 | 접이식 손 부채 | 춤 | 펄럭 펄럭
👛	purse	clothes | clothing | coin | dress | fancy | handbag | purse | shopping	지갑	고급 | 동전 | 드레스 | 쇼핑 | 옷 | 의류 | 지갑 | 핸드백
👜	handbag	bag | clothes | clothing | dress | handbag | lady | purse | shopping	핸드백	가방 | 드레스 | 백 | 쇼핑 | 여성 | 옷 | 의류 | 지갑 | 핸드백
👝	clutch bag	bag | clothes | clothing | clutch | dress | handbag | pouch | purse	파우치	가방 | 드레스 | 옷 | 의류 | 클러치 | 클러치 백 | 파우치 | 핸드백
🛍	shopping bags	bag | bags | hotel | shopping	쇼핑백	가방 | 쇼핑 | 쇼핑가방 | 쇼핑백 | 호텔
🎒	backpack	backpack | backpacking | bag | bookbag | education | rucksack | satchel | school	학교 가방	가방 | 배낭 | 책가방 | 학교 가방 | 학생 가방
🩴	thong sandal	beach | flip | flop | sandal | sandals | shoe | thong | thongs | zōri	가락신	가락신 | 가죽 끈 | 비치 샌들 | 샌달 | 샌들 | 신발 | 조리 | 플립플랍 | 해변
👞	man’s shoe	brown | clothes | clothing | feet | foot | kick | man | man’s | shoe | shoes | shopping	남성용 구두	구두 | 남성용 구두 | 남성용 신발 | 남자 | 발 | 발차기 | 브라운 | 쇼핑 | 신발 | 옷 | 의류
👟	running shoe	athletic | clothes | clothing | fast | kick | running | shoe | shoes | shopping | sneaker | tennis	운동화	달리기 | 러닝 | 러닝화 | 발차기 | 빠른 | 쇼핑 | 스니커즈 | 신발 | 운동화 | 육상 | 의류
🥾	hiking boot	backpacking | boot | brown | camping | hiking | outdoors | shoe	등산화	등산 | 등산화 | 부츠 | 브라운 신발 | 캠핑 | 하이킹
🥿	flat shoe	ballet | comfy | flat | flats | shoe | slip-on | slipper	플랫 슈즈	단화 | 발레 슈즈 | 슬립온 | 편안한 | 플랫 슈즈
👠	high-heeled shoe	clothes | clothing | dress | fashion | heel | heels | high-heeled | shoe | shoes | shopping | stiletto | woman	하이힐	구두 | 드레스 | 쇼핑 | 스틸레토 | 신발 | 여성용 구두 | 여성용 신발 | 여자 | 의류 | 패션 | 하이힐
